2019/10/26 15:37:46 Main: Join the group
2019/10/26 15:37:46 read udp 172.22.152.246:41047->172.22.154.242:8888: read: connection refused
2019/10/26 15:37:46 read udp 172.22.152.246:41967->172.22.156.242:8888: read: connection refused
2019/10/26 15:37:46 read udp 172.22.152.246:56076->172.22.152.247:8888: read: connection refused
2019/10/26 15:37:46 addNode(): Adding nodeID fa19-cs425-g73-01.cs.illinois.edu:20191026153746...
2019/10/26 15:37:46 addNode(): Successfully added!
2019/10/26 15:37:46 Updater: New List is: 
2019/10/26 15:37:46 [fa19-cs425-g73-01.cs.illinois.edu:20191026153746]
2019/10/26 15:37:52 Introducer: JoinMsg Received from Node: fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:52 addNode(): Adding nodeID fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:52 addNode(): Successfully added!
2019/10/26 15:37:52 Updater: New List is: 
2019/10/26 15:37:52 [fa19-cs425-g73-01.cs.illinois.edu:20191026153746 fa19-cs425-g73-02.cs.illinois.edu:20191026153752]
2019/10/26 15:37:52 Introducer: JoinAck Sent to Node: fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:52 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:53 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:53 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:53 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:53 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:54 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:54 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:54 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:55 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:55 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:55 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:56 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:56 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:56 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:56 Main: Show the current Membership List
2019/10/26 15:37:56 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:57 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:57 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:57 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
